[0605/171825.322:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'interest-cohort'.", source:  (0)
[0605/171852.040:INFO:CONSOLE(1)] "http://w3c.org/Metadata/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.040:INFO:CONSOLE(1)] "http://w3c.org/PICS/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.040:INFO:CONSOLE(1)] "http://w3c.org/P3P/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.040:INFO:CONSOLE(1)] "http://w3c.org/TandS/IG/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.041:INFO:CONSOLE(1)] "http://w3c.org/Architecture/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.041:INFO:CONSOLE(1)] "http://w3c.org/Protocols/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.041:INFO:CONSOLE(1)] "http://w3c.org/Protocols/HTTP-NG/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.041:INFO:CONSOLE(1)] "http://w3c.org/AudioVideo/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.041:INFO:CONSOLE(1)] "http://w3c.org/XML/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.041:INFO:CONSOLE(1)] "http://w3c.org/Jigsaw/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.041:INFO:CONSOLE(1)] "http://w3c.org/WAI/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.042:INFO:CONSOLE(1)] "http://validator.w3.org/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.042:INFO:CONSOLE(1)] "http://w3c.org/Mail", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.042:INFO:CONSOLE(1)] "http://w3c.org/Arena/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.042:INFO:CONSOLE(1)] "http://www.w3j.com/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.042:INFO:CONSOLE(1)] "http://w3c.org/vl/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.042:INFO:CONSOLE(1)] "http://w3c.org/Daemon/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.042:INFO:CONSOLE(1)] "http://w3c.org/Library/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.042:INFO:CONSOLE(1)] "http://w3c.org/Consortium/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.043:INFO:CONSOLE(1)] "http://w3c.org/News/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.043:INFO:CONSOLE(1)] "http://w3c.org/WWW/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.043:INFO:CONSOLE(1)] "http://w3c.org/Member/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
[0605/171852.043:INFO:CONSOLE(1)] "http://w3c.org/Press/", source: http://theoldnet.com/browser/js/app.d17c66d0.js (1)
